Year,Team_Strengh_Last_Year,Team,Recruits,Class_Points,Conference,Picks,Points,QB_Drafted
2009,11.5728669192832,Wisconsin,25,186.31,Big-Ten,4,26.6,0
2009,8.56081733164599,Wofford,NA,NA,NA,0,0,0
2009,-8.24991420644427,Wyoming,24,110.89,M-West,0,0,0
2010,17.4791279012846,Air Force,2,24.1,M-West,0,0,0
2010,-10.123315025761,Akron,24,121.35,MAC,0,0,0
2010,36.5575221164287,Alabama,26,281.31,SEC,7,61.5,0
2010,0.200859453050228,Alabama-Birmingham,28,130.93,C-USA,1,0.9,0
2010,-35.4791739478552,Alcorn State,NA,NA,NA,0,0,0
2010,12.1990120474098,Appalachian State,2,0,SBC,1,6,0
2010,18.2749679557468,Arizona,27,178.73,Pac-12,3,19.3,0
2010,10.4488462168418,Arizona State,26,196.93,Pac-12,4,7.8,0
2010,24.7114795337103,Arkansas,37,192.11,SEC,1,2.8,0
2010,-3.60018505048305,Arkansas State,26,128.72,SBC,1,7.4,0
2010,-5.48933035889404,Army,47,94.48,IND,0,0,0
2010,18.9317445784214,Auburn,43,274.03,SEC,2,11.9,0
2010,-7.86885535861058,Ball State,24,122.55,MAC,0,0,0
2010,6.77685040749231,Baylor,30,193.35,Big-12,2,7.6,0
2010,27.0398788693176,Boise State,13,104.16,M-West,1,13.2,0
2010,15.6033902466779,Boston College,26,181.41,ACC,1,2.4,0
2010,3.61532088026698,Bowling Green State,27,130.29,MAC,0,0,0
2010,20.8731033870139,Brigham Young,26,205.87,IND,1,4.4,0
2010,0.553105729985916,Buffalo,22,112.35,MAC,1,1.1,0
2010,-15.5838142057056,Cal Poly,NA,NA,NA,0,0,0
2010,13.3285404193118,California,18,223.44,Pac-12,3,32.9,0
2010,-13.0963445515432,California-Davis,NA,NA,NA,0,0,0
2010,0.998307322741045,Central Arkansas,NA,NA,NA,1,3,0
2010,9.73740409956417,Central Florida,26,173.47,AAC,1,11,0
2010,13.9768723721293,Central Michigan,21,113.29,MAC,2,2.5,1
2010,-31.1315139089242,Charleston Southern,NA,NA,NA,0,0,0
2010,-5.28589236277836,Chattanooga,NA,NA,NA,0,0,0
2010,24.0040919926189,Cincinnati,25,170.83,AAC,3,6.1,1
2010,-10.1644352787891,Citadel,NA,NA,NA,1,6.1,0
2010,24.9970445618877,Clemson,24,209.53,ACC,5,31,0
2010,-18.6017295456583,Coastal Carolina,NA,NA,NA,0,0,0
2010,5.60663681686655,Colorado,23,166.98,Pac-12,0,0,0
2010,-0.836249401271951,Colorado State,32,143.93,M-West,1,1.3,0
2010,18.0541221574903,Connecticut,21,139.41,AAC,2,4.9,0
2010,0.261583920295745,Delaware,NA,NA,NA,0,0,0
2010,-48.0360010456864,Delaware State,NA,NA,NA,0,0,0
2010,8.9885057622884,Duke,24,155.98,ACC,0,0,0
2010,14.0424265266188,East Carolina,22,134.55,AAC,3,10.5,0
2010,-23.734027889186,Eastern Illinois,NA,NA,NA,1,2.6,0
2010,-2.59253039710268,Eastern Kentucky,NA,NA,NA,0,0,0
2010,-19.1382278999715,Eastern Michigan,22,101.95,MAC,0,0,0
2010,-35.5148740598961,Eastern Washington,NA,NA,NA,0,0,0
2010,-11.8537768941365,Elon,NA,NA,NA,0,0,0
2010,36.1514933047923,Florida,30,323.66,SEC,9,93.2,1
2010,-3.04588185370995,Florida A&M,NA,NA,NA,0,0,0
2010,-4.67352812214797,Florida Atlantic,10,61.25,C-USA,1,1.7,1
2010,-7.5517853331525,Florida International,19,131.82,C-USA,0,0,0
2010,17.9224632849681,Florida State,29,265.39,ACC,3,13.4,0
2010,9.454260986013,Fresno State,20,153.44,M-West,1,18.8,0
2010,-16.2785997193661,Furman,NA,NA,NA,0,0,0
2010,-27.2550695606934,Gardner-Webb,NA,NA,NA,0,0,0
2010,18.754662965197,Georgia,28,251.11,SEC,5,12,0
2010,-6.16443527879057,Georgia Southern,2,13.33,SBC,0,0,0
2010,27.0166399506286,Georgia Tech,28,191.03,ACC,4,40.6,0
2010,-29.5080175584356,Grambling State,NA,NA,NA,0,0,0
2010,-3.74945611660508,Hawaii,32,132.38,M-West,0,0,0
2010,-15.0396260273993,Hofstra,NA,NA,NA,0,0,0
2010,14.9522959046715,Houston,28,165.99,AAC,0,0,0
2010,-21.7645898826184,Howard,NA,NA,NA,0,0,0
2010,-0.632084735765158,Idaho,26,137.29,SBC,1,16.6,0
2010,-31.8786948051549,Idaho State,NA,NA,NA,0,0,0
2010,4.01463206613742,Illinois,33,166.62,Big-Ten,3,22.5,0
2010,-20.8287824130727,Illinois State,NA,NA,NA,0,0,0
2010,2.81846818755845,Indiana,26,152.24,Big-Ten,3,12.5,0
