"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"589","11","Nov 5, 2016","12:00 PM","Sat","Duke",NA,"Virginia Tech","",0
"590","11","Nov 5, 2016","12:00 PM","Sat","Illinois",NA,"Michigan State","",0
"591","11","Nov 5, 2016","12:00 PM","Sat","Kansas State",NA,"Oklahoma State","",0
"592","11","Nov 5, 2016","12:00 PM","Sat","Kentucky",NA,"Georgia","",0
"593","11","Nov 5, 2016","12:00 PM","Sat","Louisiana State",NA,"Alabama","",0
"594","11","Nov 5, 2016","12:00 PM","Sat","Louisiana-Lafayette",NA,"Idaho","",0
"595","11","Nov 5, 2016","12:00 PM","Sat","Louisiana-Monroe",NA,"South Alabama","",0
"596","11","Nov 5, 2016","12:00 PM","Sat","Miami (FL)",NA,"Pittsburgh","",0
"597","11","Nov 5, 2016","12:00 PM","Sat","Michigan",NA,"Maryland","",0
"598","11","Nov 5, 2016","12:00 PM","Sat","Middle Tennessee State",NA,"Texas-San Antonio","",0
"599","11","Nov 5, 2016","12:00 PM","Sat","Minnesota",NA,"Purdue","",0
"600","11","Nov 5, 2016","12:00 PM","Sat","Mississippi",NA,"Georgia Southern","",0
"601","11","Nov 5, 2016","12:00 PM","Sat","Mississippi State",NA,"Texas A&M","",0
"602","11","Nov 5, 2016","12:00 PM","Sat","New Mexico",NA,"Nevada","",0
"603","11","Nov 5, 2016","12:00 PM","Sat","North Carolina",NA,"Georgia Tech","",0
"604","11","Nov 5, 2016","12:00 PM","Sat","North Carolina State",NA,"Florida State","",0
"605","11","Nov 5, 2016","12:00 PM","Sat","North Texas",NA,"Louisiana Tech","",0
"606","11","Nov 5, 2016","12:00 PM","Sat","Northwestern",NA,"Wisconsin","",0
"607","11","Nov 5, 2016","11:30 AM","Sat","Notre Dame",NA,"Navy","",0
"608","11","Nov 5, 2016","8:00 PM","Sat","Ohio State",NA,"Nebraska","",0
"609","11","Nov 5, 2016","12:00 PM","Sat","Old Dominion",NA,"Marshall","",0
"610","11","Nov 5, 2016","7:30 PM","Sat","Penn State",NA,"Iowa","",0
"611","11","Nov 5, 2016","12:00 PM","Sat","Rice",NA,"Florida Atlantic","",0
"612","11","Nov 5, 2016","12:00 PM","Sat","Rutgers",NA,"Indiana","",0
"613","11","Nov 5, 2016","12:00 PM","Sat","San Diego State",NA,"Hawaii","",0
"614","11","Nov 5, 2016","12:00 PM","Sat","South Carolina",NA,"Missouri","",0
"615","11","Nov 5, 2016","12:00 PM","Sat","Southern California",NA,"Oregon","",0
"616","11","Nov 5, 2016","12:00 PM","Sat","Southern Methodist",NA,"Memphis","",0
"617","11","Nov 5, 2016","12:00 PM","Sat","Southern Mississippi",NA,"Charlotte","",0
"618","11","Nov 5, 2016","12:00 PM","Sat","Stanford",NA,"Oregon State","",0
"619","11","Nov 5, 2016","12:00 PM","Sat","Tennessee",NA,"Tennessee Tech","",0
"620","11","Nov 5, 2016","12:00 PM","Sat","Texas Tech",NA,"Texas","",0
"621","11","Nov 5, 2016","12:00 PM","Sat","Troy",NA,"Massachusetts","",0
"622","11","Nov 5, 2016","12:00 PM","Sat","Tulsa",NA,"East Carolina","",0
"623","11","Nov 5, 2016","12:00 PM","Sat","Wake Forest",NA,"Virginia","",0
"624","11","Nov 5, 2016","12:00 PM","Sat","Washington State",NA,"Arizona","",0
"625","11","Nov 5, 2016","12:00 PM","Sat","West Virginia",NA,"Kansas","",0
"626","11","Nov 5, 2016","3:30 PM","Sat","Western Kentucky",NA,"Florida International","",0
"627","11","Nov 5, 2016","12:00 PM","Sat","Wyoming",NA,"Utah State","",0
"628","12","Nov 8, 2016","8:30 PM","Tue","Ball State",NA,"Eastern Michigan","",0
"629","12","Nov 8, 2016","8:30 PM","Tue","Kent State",NA,"Western Michigan","",0
"630","12","Nov 9, 2016","12:00 PM","Wed","Akron",NA,"Bowling Green State","",0
"631","12","Nov 9, 2016","9:00 PM","Wed","Northern Illinois",NA,"Toledo","",0
"632","12","Nov 10, 2016","12:00 PM","Thu","Arizona State",NA,"Utah","",0
"633","12","Nov 10, 2016","8:30 PM","Thu","Duke",NA,"North Carolina","",0
"634","12","Nov 10, 2016","8:30 PM","Thu","Georgia Southern",NA,"Louisiana-Lafayette","",0
"635","12","Nov 11, 2016","8:30 PM","Fri","Florida State",NA,"Boston College","",0
"636","12","Nov 12, 2016","12:00 PM","Sat","Air Force",NA,"Colorado State","",0
"637","12","Nov 12, 2016","12:00 PM","Sat","Alabama",NA,"Mississippi State","",0
"638","12","Nov 12, 2016","12:00 PM","Sat","Arizona",NA,"Colorado","",0
"639","12","Nov 12, 2016","12:00 PM","Sat","Arkansas",NA,"Louisiana State","",0
"640","12","Nov 12, 2016","12:00 PM","Sat","Arkansas State",NA,"New Mexico State","",0
