"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"396","6","Oct 10 2015","","Sat","Wyoming","0",NA,"Air Force","0","","",811,"Wyoming",721,"Air Force"
"397","7","Oct 13 2015","","Tue","Arkansas State","0",NA,"South Alabama","0","","",30,"Arkansas State",646,"South Alabama"
"398","7","Oct 15 2015","","Thu","Auburn","0",NA,"Kentucky","0","","",37,"Auburn",334,"Kentucky"
"399","7","Oct 15 2015","","Thu","UCLA","0",NA,"Stanford","0","","",110,"UCLA",674,"Stanford"
"400","7","Oct 16 2015","","Fri","Houston","0",NA,"Tulane","0","","",288,"Houston",718,"Tulane"
"401","7","Oct 17 2015","","Sat","Air Force","0",NA,"Colorado State","0","","",721,"Air Force",156,"Colorado State"
"402","7","Oct 17 2015","","Sat","Akron","0",NA,"Bowling Green State","0","","",5,"Akron",71,"Bowling Green"
"403","7","Oct 17 2015","","Sat","Alabama","0",NA,"Texas A&M","0","","",8,"Alabama",697,"Texas A&M"
"404","7","Oct 17 2015","","Sat","Appalachian State","0",NA,"Louisiana-Monroe","0","","",27,"Appalachian State",498,"Louisiana-Monroe"
"405","7","Oct 17 2015","","Sat","Arizona","0",NA,"Colorado","0","","",29,"Arizona",157,"Colorado"
"406","7","Oct 17 2015","","Sat","Arizona State","0",NA,"Utah","0","","",28,"Arizona State",732,"Utah"
"407","7","Oct 17 2015","","Sat","Boise State","0",NA,"Utah State","0","","",66,"Boise State",731,"Utah State"
"408","7","Oct 17 2015","","Sat","Boston College","0",NA,"Clemson","0","","",67,"Boston College",147,"Clemson"
"409","7","Oct 17 2015","","Sat","Buffalo","0",NA,"Central Michigan","0","","",86,"Buffalo",129,"Central Michigan"
"410","7","Oct 17 2015","","Sat","Central Florida","0",NA,"Temple","0","","",128,"UCF",690,"Temple"
"411","7","Oct 17 2015","","Sat","Cincinnati","0",NA,"Brigham Young","0","","",140,"Cincinnati",77,"BYU"
"412","7","Oct 17 2015","","Sat","Eastern Michigan","0",NA,"Toledo","0","","",204,"Eastern Michigan",709,"Toledo"
"413","7","Oct 17 2015","","Sat","Florida","0",NA,"Louisiana State","0","","",235,"Florida",365,"LSU"
"414","7","Oct 17 2015","","Sat","Florida International","0",NA,"Middle Tennessee State","0","","",231,"Florida International",419,"Middle Tennessee"
"415","7","Oct 17 2015","","Sat","Georgia State","0",NA,"Ball State","0","","",254,"Georgia State",47,"Ball State"
"416","7","Oct 17 2015","","Sat","Hawaii","0",NA,"New Mexico","0","","",277,"Hawai'i",473,"New Mexico"
"417","7","Oct 17 2015","","Sat","Idaho","0",NA,"Troy","0","","",295,"Idaho",716,"Troy"
"418","7","Oct 17 2015","","Sat","Iowa","0",NA,"Northwestern","0","","",312,"Iowa",509,"Northwestern"
"419","7","Oct 17 2015","","Sat","Kent State","0",NA,"Massachusetts","0","","",331,"Kent State",400,"Massachusetts"
