"RK","PLAYER","RESULT","PASS_EPA","RUN_EPA","SACK_EPA","PEN_EPA","TOTAL_EPA","ACT_PLAYS","RAW_QBR","TOTAL_QBR","Week","Team","Opponent","QB","QBshort","Win","Points_For"
107,"Colin Reardon, KENT","W 45-13  vs DSU",1.9,-0.8,0,-0.2,0.9,25,49.6,24.3,2,"KENT","DSU","Colin Reardon","Reardon, C","W",45
108,"Blake Bogenschutz, UTSA","L 30-3  vs KSU",-0.3,-0.7,-1.3,-0.3,-2.5,47,24.9,23.6,2,"UTSA","KSU","Blake Bogenschutz","Bogenschutz, B","L",3
109,"Bo Schneider, UCF","L 31-7  @ STAN",-3.6,-1,0,1.7,-2.9,26,13.8,21.5,2,"UCF","STAN","Bo Schneider","Schneider, B","L",7
110,"Andrew McNulty, UNT","L 31-13  @ SMU",0.7,0.4,-1.8,1.2,0.5,45,40.5,19.4,2,"UNT","SMU","Andrew McNulty","McNulty, A","L",13
111,"Quinton Flowers, USF","L 34-14  @ FSU",-3.9,-0.1,-1.7,0.1,-5.6,39,8.7,18.9,2,"USF","FSU","Quinton Flowers","Flowers, Q","L",14
112,"Shuler Bentley, ODU","W 24-10  vs NORF",-0.2,1,0,-0.3,0.4,28,41.6,18.8,2,"ODU","NORF","Shuler Bentley","Bentley, S","W",24
113,"Tyler Stewart, NEV","L 44-20  vs ARIZ",0.8,-1.9,-0.7,-0.2,-2,41,24.5,17.8,2,"NEV","ARIZ","Tyler Stewart","Stewart, T","L",20
114,"Nick Stevens, CSU","L 23-20  vs MINN",-3.4,1.3,-0.7,0,-2.8,21,13,16,2,"CSU","MINN","Nick Stevens","Stevens, N","L",20
115,"Lamar Jordan, UNM","L 40-21  vs TLSA",-0.2,-0.8,0,-0.1,-1.2,24,26.7,15.1,2,"UNM","TLSA","Lamar Jordan","Jordan, L","L",21
116,"Favian Upshaw, GASO","W 43-17  vs WMU",-0.4,-1.1,0,-0.2,-1.7,22,16.8,13,2,"GASO","WMU","Favian Upshaw","Upshaw, F","W",43
117,"Billy Bahl, M-OH","L 58-0  @ WIS",-2.5,0,-1,0.2,-3.3,25,5.2,12.8,2,"OH","WIS","Billy Bahl","Bahl, B","L",0
118,"Kenny Potter, SJSU","L 37-16  @ AFA",-2.1,1.3,-1.6,-0.7,-3.1,26,13.1,12.7,2,"SJSU","AFA","Kenny Potter","Potter, K","L",16
119,"Nick Smith, WYO","L 48-29  vs EMU",-4,3.7,-0.6,0.2,-0.6,26,30.1,12.6,2,"WYO","EMU","Nick Smith","Smith, N","L",29
120,"Max Wittek, HAW","L 38-0  @ OSU",-6.2,1.3,-1.6,0.3,-6.2,32,4,10.8,2,"HAW","OSU","Max Wittek","Wittek, M","L",0
121,"Brooks Barden, CHAR","W 34-10  vs PRE",-1.3,1,-1.1,0.1,-1.3,28,21.9,8.3,2,"CHAR","PRE","Brooks Barden","Barden, B","W",34
122,"Taylor Lamb, APP","L 41-10  @ CLEM",-7.1,0.6,-0.1,0.7,-6.1,36,1.7,6.2,2,"APP","CLEM","Taylor Lamb","Lamb, T","L",10
123,"Tra'Von Chapman, AKR","L 24-7  vs PITT",-1.3,-1.7,-2.4,-0.1,-5.5,26,5.2,6.2,2,"AKR","PITT","Tra'Von Chapman","Chapman, T","L",7
124,"Michael Birdsong, MRSH","L 21-10  @ OHIO",-5.2,-0.4,-2.3,-0.8,-8.6,42,4.7,5.6,2,"MRSH","OHIO","Michael Birdsong","Birdsong, M","L",10
125,"Kurt Palandech, UNLV","L 37-3  vs UCLA",-4.9,-0.5,-0.5,0,-5.9,29,1.7,2.8,2,"UNLV","UCLA","Kurt Palandech","Palandech, K","L",3
1,"Kevin Hogan, STAN","W 41-31  @ USC",11.1,3.3,-2.3,0.7,12.9,32,97.7,98.5,3,"STAN","USC","Kevin Hogan","Hogan, K","W",41
2,"Greyson Lambert, UGA","W 52-20  vs SC",8.9,0.4,0,0.1,9.4,31,97.8,98,3,"UGA","SC","Greyson Lambert","Lambert, G","W",52
